Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA
D1,28/01/01,Hamburg,Hertha,1,2,A,1,0,H,42000,Herbert Fandel ,9,11,3,6,0,0,3,3,20,26,3,1,2,2,1,1,45,45,2.05,3.1,3.2,2,2.9,3,2.1,3.2,3,2,3.1,3.3,1.9,3.25,3.4
D1,28/01/01,Leverkusen,Stuttgart,4,0,H,0,0,D,22500,Helmut Fleischer ,17,5,11,2,0,0,11,3,16,13,9,2,2,2,0,1,20,45,1.43,3.6,6.8,1.5,3.4,4.7,1.5,3.4,6,1.4,3.75,7,1.4,3.75,7
D1,02/02/01,Munich 1860,Dortmund,1,0,H,0,0,D,20500,J\FCrgen Aust ,19,15,6,4,0,0,7,3,25,31,0,0,4,4,0,1,40,65,2.65,2.95,2.45,2.4,2.9,2.4,2.5,3.25,2.37,2.6,3.1,2.4,2.5,3.25,2.4
D1,03/02/01,FC Koln,Freiburg,0,1,A,0,0,D,30000,J\F6rg Kessler ,11,17,4,9,0,1,1,7,19,16,1,1,1,4,0,0,10,40,1.75,3.2,4,1.8,3,3.5,1.73,3.4,4,1.75,3.25,4,1.72,3.4,4
D1,03/02/01,Bochum,Hertha,1,3,A,0,1,A,10000,Peter Sippel ,12,14,4,6,0,0,9,5,17,19,2,0,2,2,0,0,20,20,2.6,3,2.5,2.4,2.9,2.4,2.75,3.2,2.25,2.63,3.1,2.38,2.5,3.25,2.4
D1,03/02/01,Cottbus,Schalke 04,4,1,H,2,0,H,17000,Florian Meyer ,19,20,11,11,1,0,5,3,18,24,1,0,2,1,0,1,20,35,2.95,3,2.25,3.2,2.9,1.9,3,3.2,2.1,3,3.1,2.05,3,3.2,2.1
D1,03/02/01,Stuttgart,Kaiserslautern,6,1,H,3,1,H,13000,Michael Weiner ,17,11,8,2,1,1,1,6,17,21,2,3,2,4,0,0,20,40,2.37,2.9,2.8,2.3,2.9,2.5,2.25,3.2,2.75,2.3,3.1,2.7,2.37,3.1,2.62
D1,03/02/01,Werder Bremen,Hamburg,3,1,H,1,0,H,31526,Hermann Albrecht ,15,14,6,5,0,1,3,6,21,21,3,1,4,3,0,0,40,30,1.91,3.1,3.6,2,2.9,3,1.8,3.5,3.5,1.85,3.25,3.6,1.9,3.1,3.6
D1,03/02/01,Wolfsburg,Bayern Munich,1,3,A,1,2,A,20400,Lutz Michael Fr\F6hlich ,11,11,5,7,0,1,6,2,11,11,2,4,0,1,0,0,0,10,3.25,2.95,2.1,2.9,2.9,2.1,3,3.2,2.1,3.1,3.1,2.1,3.1,3.1,2.1
D1,04/02/01,Hansa Rostock,Ein Frankfurt,0,2,A,0,2,A,11000,Franz-Xaver Wack ,10,12,3,6,0,0,16,3,18,34,8,6,1,3,1,2,35,80,1.8,3.2,3.9,1.8,3,3.5,1.8,3.25,3.75,1.75,3.25,4,1.8,3.4,3.6
D1,04/02/01,Unterhaching,Leverkusen,1,2,A,1,1,D,9000,Peter Gagelmann ,16,10,5,4,0,0,3,4,20,23,1,4,2,2,1,0,45,20,3.05,2.9,2.25,3,2.9,2,2.8,3.2,2.2,3.1,3,2.15,3,3,2.2
D1,09/02/01,Ein Frankfurt,Cottbus,1,0,H,0,0,D,20000,Markus Merk ,13,15,5,5,0,0,6,8,15,16,1,0,2,2,0,0,20,20,1.8,3.2,4,1.65,3.2,3.9,,,,1.75,3.25,4,1.8,3.3,3.75
D1,10/02/01,Bayern Munich,Stuttgart,1,0,H,1,0,H,35000,Uwe Kemmling ,11,7,4,2,0,0,8,1,17,14,2,2,4,1,0,0,40,10,1.28,4.4,8.6,1.4,3.6,5.5,,,,1.33,4,8,1.33,4,8
D1,10/02/01,Hamburg,Bochum,3,0,H,3,0,H,25000,Hartmut Strampe ,19,8,6,4,1,0,5,1,27,11,1,3,1,5,0,0,10,50,1.5,3.6,5.6,1.55,3.3,4.5,,,,1.55,3.5,5.25,1.57,3.5,5
D1,10/02/01,Hertha,Wolfsburg,1,3,A,0,1,A,37000,J\FCrgen Jansen ,5,10,3,6,0,0,0,2,5,5,0,0,1,3,0,0,10,30,1.68,3.25,4.6,1.7,3.1,3.8,,,,1.67,3.3,4.5,1.66,3.4,4.33
D1,10/02/01,Kaiserslautern,Unterhaching,4,0,H,3,0,H,36000,J\FCrgen Aust ,23,3,14,2,2,0,11,8,15,15,1,2,1,3,0,1,10,55,1.5,3.5,5.9,1.45,3.5,5,,,,1.5,3.5,5.75,1.5,3.6,5.5
D1,10/02/01,Leverkusen,FC Koln,4,1,H,0,1,A,22500,Helmut Krug ,23,8,11,3,0,0,13,0,29,24,1,0,2,5,0,0,20,50,1.45,3.65,6.4,1.55,3.3,4.5,,,,1.44,3.6,6.5,1.44,3.5,7
D1,10/02/01,Schalke 04,Munich 1860,2,0,H,0,0,D,33705,Bernd Heynemann ,15,1,11,1,1,0,4,3,23,17,2,0,2,0,0,1,20,25,1.55,3.5,5.4,1.65,3.2,3.9,,,,1.53,3.4,5.5,1.57,3.5,5
D1,11/02/01,Dortmund,Werder Bremen,0,0,D,0,0,D,62000,Herbert Fandel ,18,9,8,5,0,0,15,4,19,27,1,0,2,3,0,0,20,30,1.53,3.45,5.6,1.6,3.2,4.2,,,,1.53,3.5,5.25,1.61,3.25,5
D1,11/02/01,Freiburg,Hansa Rostock,0,0,D,0,0,D,24500,Hermann Albrecht ,12,8,4,3,0,0,7,7,16,19,5,3,2,4,0,0,20,40,1.6,3.4,4.8,1.6,3.2,4.2,,,,1.53,3.5,5.25,1.57,3.5,5
D1,16/02/01,Munich 1860,Ein Frankfurt,2,2,D,0,1,A,12001,Michael Weiner ,18,9,12,6,1,0,13,4,15,13,2,2,1,3,0,0,10,30,1.68,3.3,4.55,1.7,3.1,3.8,,,,1.65,3.25,4.5,1.66,3.4,4.33
D1,17/02/01,Cottbus,Freiburg,0,2,A,0,0,D,14133,Peter Sippel ,23,11,11,5,1,0,4,3,23,24,1,3,5,4,0,0,50,40,2.18,3.2,2.75,2.1,2.9,2.9,,,,2.2,3.2,2.8,2.2,3.2,2.8
D1,17/02/01,Dortmund,Hamburg,4,2,H,1,0,H,65000,Franz-Xaver Wack ,13,11,7,5,0,0,3,2,17,24,6,1,1,2,0,1,10,45,1.6,3.45,4.8,1.65,3.2,3.9,,,,1.57,3.5,5,1.57,3.5,5
D1,17/02/01,Hansa Rostock,Leverkusen,2,1,H,1,1,D,12500,Edgar Steinborn ,4,10,3,2,0,0,3,5,22,27,1,4,2,3,1,0,45,30,3.3,3.15,2,3,2.9,2,,,,3.4,3.1,1.95,3.2,3.2,2
D1,17/02/01,Unterhaching,Bayern Munich,1,0,H,0,0,D,15300,Lutz Wagner ,10,17,3,8,0,0,4,8,15,14,0,3,0,2,0,0,0,20,5.1,3.35,1.6,4.5,3.3,1.55,,,,4.5,3.3,1.67,4.5,3.3,1.66
D1,17/02/01,Werder Bremen,Schalke 04,2,1,H,2,0,H,35838,Helmut Fleischer ,12,9,3,3,1,0,2,4,18,19,2,0,1,2,0,0,10,20,2.33,3.1,2.7,2.2,2.9,2.7,,,,2.3,3.1,2.7,2.3,3.2,2.62
D1,17/02/01,Wolfsburg,Bochum,0,0,D,0,0,D,12318,Alfons Berg ,20,4,5,2,1,0,14,3,22,17,0,1,1,1,0,0,10,10,1.48,3.55,6.1,1.45,3.5,5,,,,1.44,3.6,6.5,1.53,3.4,5.5
D1,18/02/01,FC Koln,Kaiserslautern,0,1,A,0,1,A,32000,Florian Meyer ,19,15,6,5,0,1,11,6,16,18,4,3,2,4,0,0,20,40,2.25,3,2.9,2.2,2.9,2.7,,,,2.1,3.1,3.1,2.2,3.2,2.8
D1,18/02/01,Stuttgart,Hertha,0,1,A,0,0,D,20000,Wolfgang Stark ,10,4,1,2,0,0,6,5,27,15,2,5,1,1,0,0,10,10,2.27,3,2.9,2.1,2.9,2.9,,,,2.25,3.1,2.8,2.3,3.2,2.62
D1,23/02/01,Leverkusen,Cottbus,1,3,A,0,2,A,,Hermann Albrecht ,21,11,13,7,1,1,9,3,21,19,2,4,2,4,0,0,20,40,1.25,4.2,8.7,1.3,4,7,,,,1.25,4.5,8.5,1.25,4.5,10
D1,24/02/01,Bayern Munich,FC Koln,1,1,D,0,1,A,36000,Bernd Heynemann ,21,5,4,1,0,0,10,2,15,17,0,7,1,3,0,0,10,30,1.27,4.5,9,1.3,4,7,,,,1.33,4,8,1.3,4.33,8
D1,24/02/01,Ein Frankfurt,Werder Bremen,1,2,A,0,1,A,21000,J\FCrgen Aust ,11,11,4,5,2,0,4,4,17,13,4,4,2,1,0,0,20,10,2.2,3.1,2.95,2.1,2.9,2.9,,,,2,3.1,3,2.1,3.2,3
D1,24/02/01,Freiburg,Munich 1860,0,3,A,0,2,A,25000,J\FCrgen Jansen ,21,22,9,10,2,0,7,11,13,20,1,3,3,3,0,0,30,30,1.9,3.2,3.6,1.9,3,3.1,,,,1.8,3.1,4,1.8,3.3,3.75
D1,24/02/01,Hamburg,Wolfsburg,3,2,H,2,1,H,32000,Peter Gagelmann ,12,16,7,10,1,0,7,9,17,14,4,0,2,3,0,0,20,30,2,3.1,3.35,2,2.9,3,,,,2,3.2,3.2,1.9,3.25,3.4
D1,24/02/01,Schalke 04,Dortmund,0,0,D,0,0,D,62100,Markus Merk,7,6,1,2,0,0,8,7,18,23,1,1,4,4,0,0,40,40,2.25,3.2,2.75,2.1,2.9,2.9,,,,2.1,3,3.2,2.1,3.2,3
D1,25/02/01,Bochum,Stuttgart,0,0,D,0,0,D,19000,Herbert Fandel ,14,15,5,4,1,0,9,7,27,26,7,3,2,2,0,0,20,20,2.27,3,2.87,2.2,2.9,2.7,,,,2.2,3.1,2.88,2.2,3.2,2.8
D1,25/02/01,Kaiserslautern,Hansa Rostock,0,1,A,0,1,A,36000,Lutz Michael Fr\F6hlich ,20,8,9,5,0,0,11,2,23,26,0,6,3,3,1,0,55,30,1.5,3.4,6.2,1.45,3.5,5,,,,1.5,3.4,6,1.5,3.4,6
D1,02/03/01,Dortmund,Ein Frankfurt,6,1,H,1,0,H,,Uwe Kemmling ,29,11,17,4,1,0,10,0,14,11,4,2,3,3,0,1,30,55,1.42,3.8,6.7,1.45,3.5,5,,,,1.44,3.6,6.5,1.44,3.6,6.5
D1,03/03/01,FC Koln,Hertha,1,0,H,0,0,D,34500,Franz-Xaver Wack ,12,8,7,5,0,1,9,11,10,11,1,2,0,1,0,0,0,10,2.35,3,2.8,2.2,2.9,2.7,,,,2.25,3.2,2.75,2.37,3.3,2.5
D1,03/03/01,Cottbus,Kaiserslautern,0,2,A,0,0,D,18000,Helmut Fleischer ,7,6,3,4,1,0,4,7,22,16,1,0,2,0,0,1,20,25,2.45,3.1,2.6,2.3,2.9,2.5,,,,2.3,3.1,2.7,2.37,3.3,2.5
D1,03/03/01,Hansa Rostock,Bayern Munich,3,2,H,1,1,D,21000,Markus Merk ,7,17,3,9,0,0,4,7,21,18,2,0,2,5,0,1,20,75,3.8,3.2,1.85,3.3,3,1.85,,,,3.6,3.25,1.85,3.5,3.2,1.9
D1,03/03/01,Stuttgart,Wolfsburg,2,1,H,1,0,H,10000,Lutz Wagner ,7,8,6,3,1,0,2,3,27,29,1,5,4,2,0,0,40,20,2.25,3,2.95,1.9,3,3.1,,,,2.2,3,3,2.1,3.2,3
D1,03/03/01,Unterhaching,Bochum,2,1,H,1,1,D,9000,Florian Meyer ,17,8,11,4,0,0,11,7,13,22,2,2,1,3,0,2,10,80,1.8,3.25,3.95,1.85,3,3.3,,,,1.75,3.3,4,1.8,3.3,3.75
D1,03/03/01,Werder Bremen,Freiburg,3,1,H,2,0,H,27000,Helmut Krug ,27,9,5,4,0,0,14,2,19,18,5,3,2,2,0,0,20,20,1.8,3.2,4,1.7,3.1,3.8,,,,1.73,3.25,4.2,1.66,3.3,4.5
D1,04/03/01,Munich 1860,Leverkusen,1,0,H,0,0,D,17500,Herbert Fandell ,11,15,6,7,0,0,4,4,26,17,0,1,1,5,1,1,35,75,2.65,2.9,2.5,2.4,2.9,2.4,,,,2.5,3.1,2.5,2.37,3.1,2.62
D1,04/03/01,Schalke 04,Hamburg,0,1,A,0,0,D,35000,J\F6rg Kessler ,18,15,2,5,0,1,8,5,21,16,2,1,2,3,0,0,20,30,1.62,3.4,4.85,1.6,3.2,4.2,,,,1.57,3.4,5.25,1.57,3.5,5
D1,07/03/01,Hertha,Unterhaching,2,1,H,0,0,D,20000,Hartmut Strampe ,12,8,5,3,0,1,7,2,14,10,3,2,2,2,0,0,20,20,1.45,3.7,6.4,1.4,3.6,5.5,,,,1.5,3.6,5.5,1.44,3.6,6.5
D1,09/03/01,Leverkusen,Werder Bremen,3,0,H,1,0,H,22500,Wolfgang Stark ,18,5,7,1,0,0,5,6,29,22,5,2,3,3,0,0,30,30,1.6,3.3,5.3,1.75,3.1,3.6,,,,1.67,3.3,4.5,1.72,3.4,4
D1,10/03/01,Bayern Munich,Cottbus,2,0,H,2,0,H,28000,Michael Weiner ,18,7,11,1,0,0,2,2,14,18,6,6,3,0,0,0,30,0,1.22,5.1,10,1.25,4.3,8,1.25,4.5,10,1.25,4.75,9,1.22,5,9.5
D1,10/03/01,Bochum,FC Koln,2,3,A,2,1,H,21683,Lutz Michael Fr\F6hlich ,12,14,4,7,2,0,7,4,12,16,1,2,3,3,1,3,55,105,2.45,3,2.65,2.3,2.9,2.5,2.5,3.25,2.4,2.5,3.1,2.5,2.37,3.3,2.5
D1,10/03/01,Ein Frankfurt,Schalke 04,0,0,D,0,0,D,37400,Hermann Albrecht ,15,10,5,6,0,1,4,5,22,15,1,5,1,4,0,0,10,40,2.6,2.95,2.55,2.4,2.9,2.4,2.6,3.2,2.37,2.6,3.1,2.4,2.5,3.1,2.5
D1,10/03/01,Freiburg,Dortmund,2,2,D,1,2,A,25000,Alfons Berg ,12,22,6,9,0,0,6,9,13,12,4,3,2,2,0,0,20,20,2.9,3,2.3,2.7,2.9,2.2,2.6,3.2,2.37,2.63,3.1,2.38,2.62,3.1,2.37
D1,10/03/01,Hertha,Hansa Rostock,1,0,H,0,0,D,40895,J\FCrgen Aust ,15,4,6,0,0,0,6,3,24,18,3,1,2,3,0,1,20,55,1.6,3.35,5.2,1.6,3.2,4.2,1.73,3.4,4,1.67,3.25,4.5,1.61,3.5,4.5
D1,10/03/01,Wolfsburg,Unterhaching,6,1,H,2,1,H,16000,Bernd Heynemann ,16,6,7,2,2,0,7,2,11,14,7,2,2,2,0,1,20,45,1.62,3.3,5.2,1.55,3.3,4.5,1.61,3.5,4.5,1.57,3.3,5.25,1.61,3.5,4.5
D1,11/03/01,Hamburg,Stuttgart,2,2,D,2,1,H,40000,J\FCrgen Jansen ,7,7,2,4,0,0,5,3,11,31,5,1,1,2,0,0,10,20,1.67,3.35,4.5,1.65,3.1,4,1.73,3.4,4,1.67,3.3,4.5,1.66,3.3,4.5
D1,11/03/01,Kaiserslautern,Munich 1860,3,2,H,0,0,D,39172,Hartmut Strampe ,16,13,10,6,0,1,2,10,22,17,0,1,4,4,0,0,40,40,1.75,3.3,4.2,1.75,3.1,3.6,1.8,3.25,3.75,1.8,3.25,3.75,1.8,3.3,3.75
D1,16/03/01,FC Koln,Wolfsburg,0,0,D,0,0,D,28000,Herbert Fandel ,9,14,4,6,0,0,3,6,10,13,0,3,0,1,0,0,0,10,2.05,3.05,3.35,2.1,2.9,2.9,1.8,3.25,3.75,1.95,3.25,3.3,2,3.3,3.1
D1,17/03/01,Munich 1860,Bayern Munich,0,2,A,0,0,D,69000,Helmut Krug ,21,16,4,8,0,1,9,3,18,11,2,1,0,3,0,0,0,30,3.85,3.15,1.85,3.3,3,1.85,3.75,3.25,1.8,3.75,3.25,1.8,4.5,3.3,1.66
D1,17/03/01,Cottbus,Hertha,3,0,H,2,0,H,20400,Alfons Berg ,8,9,4,4,0,0,1,4,22,20,2,4,3,2,0,0,30,20,2.55,3.1,2.5,2.35,3,2.35,2.6,3.2,2.37,2.6,3.1,2.38,2.62,3.2,2.3
D1,17/03/01,Dortmund,Leverkusen,1,3,A,1,2,A,68600,Bernd Heynemann ,16,10,8,6,2,0,6,5,20,18,2,0,4,4,0,1,40,65,1.95,3.15,3.5,2,2.9,3,1.91,3.2,3.5,1.91,3.25,3.4,2,3.2,3.2
D1,17/03/01,Ein Frankfurt,Hamburg,1,1,D,0,0,D,33000,Helmut Fleischer ,11,8,8,7,0,0,7,3,12,15,1,7,3,1,0,0,30,10,2.25,3.1,2.85,2.2,2.9,2.7,2.2,3.2,2.8,2.25,3.2,2.75,2.2,3.25,2.75
D1,17/03/01,Hansa Rostock,Bochum,2,0,H,0,0,D,13000,J\F6rg Kessler ,17,11,4,5,0,1,7,3,16,12,2,2,2,4,0,1,20,65,1.6,3.5,4.85,1.65,3.1,4,1.57,3.5,5,1.6,3.3,5,1.61,3.25,5
D1,17/03/01,Schalke 04,Freiburg,0,0,D,0,0,D,29000,Uwe Kemmling ,18,6,5,1,0,1,6,1,19,16,4,0,2,3,0,1,20,55,1.6,3.45,5,1.6,3.2,4.2,1.57,3.5,5,1.62,3.4,4.75,1.61,3.25,5
D1,18/03/01,Unterhaching,Stuttgart,0,0,D,0,0,D,12000,Lutz Michael Fr\F6hlich ,10,24,2,8,0,1,3,11,14,22,5,2,0,2,0,0,0,20,2.15,3,3.15,2.2,2.9,2.7,2.2,3.2,2.8,2.1,3.1,3.1,2.1,3.2,3
D1,18/03/01,Werder Bremen,Kaiserslautern,1,2,A,0,2,A,24000,Franz-Xaver Wack ,12,15,5,8,0,1,12,3,17,27,3,0,4,4,0,0,40,40,2,3.1,3.4,2,2.9,3,1.8,3.25,3.75,1.9,3.2,3.5,1.85,3.3,3.6
D1,30/03/01,Wolfsburg,Hansa Rostock,2,1,H,1,0,H,15000,J\FCrgen Jansen ,11,10,6,5,0,1,5,6,21,20,4,3,2,1,0,0,20,10,1.78,3.2,4.1,1.75,3.1,3.6,1.67,3.4,4.33,1.83,3.25,3.7,1.8,3.3,3.75
D1,31/03/01,Bayern Munich,Werder Bremen,2,3,A,0,1,A,45000,Florian Meyer ,13,16,6,10,0,0,7,5,13,16,8,4,3,3,0,0,30,30,1.38,3.85,7.5,1.4,3.6,5.5,1.44,3.5,7,1.4,3.75,7,1.4,3.75,7
D1,31/03/01,Freiburg,Ein Frankfurt,5,2,H,2,0,H,25000,Herbert Fandel ,11,14,9,8,0,1,6,4,14,11,3,2,3,4,0,0,30,40,1.75,3.3,4.15,1.8,3,3.5,1.73,3.4,4,1.75,3.25,4,1.72,3.25,4.2
D1,31/03/01,Hamburg,Unterhaching,1,1,D,0,0,D,36000,Helmut Krug ,16,8,2,6,0,2,7,3,17,19,2,0,3,0,0,0,30,0,1.5,3.4,5.75,1.45,3.5,5,1.5,3.6,5.5,1.5,3.5,5.75,1.53,3.25,6
D1,31/03/01,Hertha,Munich 1860,3,0,H,1,0,H,30000,Edgar Steinborn ,13,10,5,5,0,0,10,5,13,18,3,1,1,2,0,0,10,20,1.72,3.35,4.2,1.8,3,3.5,1.67,3.4,4.33,1.73,3.2,4.33,1.66,3.4,4.33
D1,31/03/01,Leverkusen,Schalke 04,0,3,A,0,1,A,22000,Markus Merk ,10,7,1,3,0,1,5,2,16,20,4,2,4,2,0,0,40,20,1.73,3.3,4.2,1.8,3,3.5,1.73,3.4,4,1.7,3.25,4.33,1.66,3.3,4.5
D1,31/03/01,Stuttgart,FC Koln,0,3,A,0,2,A,32000,Peter Gagelmann ,15,5,4,4,1,0,15,1,10,16,0,2,0,3,0,0,0,30,1.95,3.1,3.55,1.85,2.9,3.4,1.91,3.25,3.4,1.9,3.2,3.5,1.9,3.2,3.5
D1,01/04/01,Bochum,Cottbus,1,0,H,0,0,D,10000,Franz-Xaver Wack ,13,6,2,3,1,0,14,5,14,15,2,0,1,1,0,0,10,10,2.17,3.2,2.95,2,2.9,3,2.25,3.4,2.62,2.2,3.1,2.88,2.1,3,3.2
D1,01/04/01,Kaiserslautern,Dortmund,1,4,A,0,1,A,41500,Lutz Michael Fr\F6hlich ,12,12,5,10,0,0,7,7,12,10,0,3,1,1,0,0,10,10,2.28,3.05,2.85,2.1,2.9,2.9,2.1,3.4,2.8,2.2,3,3,2,3.1,3.3
D1,06/04/01,Cottbus,Wolfsburg,0,0,D,0,0,D,15019,Hermann Albrecht ,11,5,5,1,0,0,10,1,16,27,2,5,1,3,0,0,10,30,2.25,3,2.95,2.2,2.9,2.7,2.25,3.2,2.75,2.25,3.1,2.8,2.2,3.25,2.75
D1,07/04/01,FC Koln,Unterhaching,1,1,D,1,0,H,32500,Alfons Berg ,11,7,4,3,0,0,8,4,17,19,3,2,2,2,0,0,20,20,1.6,3.35,5.2,1.6,3.2,4.2,1.57,3.25,5.5,1.55,3.4,5.5,1.5,3.6,5.5
D1,07/04/01,Munich 1860,Bochum,2,4,A,0,1,A,26300,Bernd Heynemann ,18,17,5,7,0,2,11,5,17,16,3,1,2,0,0,0,20,0,1.55,3.45,5.5,1.55,3.3,4.5,1.5,3.25,6.5,1.55,3.5,5.25,1.57,3.5,5
D1,07/04/01,Dortmund,Bayern Munich,1,1,D,0,1,A,68000,Hartmut Strampe ,16,4,5,1,2,0,3,3,22,14,4,1,2,10,1,2,45,150,2.4,3.1,2.67,2.3,2.9,2.5,2.5,3.25,2.4,2.38,3.1,2.63,2.3,3.1,2.75
D1,07/04/01,Ein Frankfurt,Leverkusen,1,3,A,0,1,A,35000,J\F6rg Kessler ,13,11,7,6,0,0,7,7,17,20,1,5,2,4,0,1,20,65,2.85,3.1,2.25,2.9,2.9,2.1,2.75,3.25,2.2,2.8,3.1,2.25,2.9,3.1,2.2
D1,07/04/01,Freiburg,Hamburg,0,0,D,0,0,D,25000,Markus Merk ,9,9,2,3,0,0,7,2,16,25,2,1,3,4,0,0,30,40,2.06,3,3.35,2.1,2.9,2.9,2,3.2,3.2,1.95,3.2,3.3,2,3.2,3.2
D1,07/04/01,Werder Bremen,Hertha,3,1,H,1,0,H,34000,Peter Sippel ,18,12,10,4,1,1,8,8,17,18,4,4,1,3,0,0,10,30,2,3.1,3.3,1.8,3,3.5,1.91,3.25,3.4,1.95,3.2,3.3,2,3.2,3.2
D1,08/04/01,Hansa Rostock,Stuttgart,1,1,D,0,0,D,15500,Franz-Xaver Wack ,8,21,3,5,0,0,2,7,27,23,0,4,3,1,0,0,30,10,1.95,3.1,3.55,1.9,2.9,3.2,1.8,3.25,3.75,1.85,3.25,3.6,1.85,3.3,3.5
D1,08/04/01,Schalke 04,Kaiserslautern,5,1,H,2,0,H,51000,Wolfgang Stark ,13,6,7,3,0,0,2,5,15,23,0,1,3,4,0,0,30,40,1.92,3.15,3.5,1.9,2.9,3.2,1.91,3.4,3.25,1.8,3.25,3.8,1.9,3.25,3.4
D1,12/04/01,Stuttgart,Cottbus,1,0,H,0,0,D,35000,Bernd Heynemann ,16,8,3,2,0,0,8,1,15,24,4,3,3,4,0,0,30,40,1.65,3.45,4.55,1.6,3.2,4.2,1.67,3.4,4.33,1.62,3.4,4.75,1.65,3.4,4.5
D1,14/04/01,Bayern Munich,Schalke 04,1,3,A,1,1,D,63000,J\FCrgen Aust ,15,9,8,6,2,0,7,3,17,9,0,3,3,2,0,0,30,20,1.65,3.3,4.9,1.7,3.1,3.8,1.73,3.4,4,1.8,3.2,4,1.72,3.2,4.33
D1,14/04/01,Bochum,Werder Bremen,1,2,A,0,1,A,16000,Uwe Kemmling ,17,16,9,6,0,1,3,9,17,13,2,7,3,2,0,0,30,20,2.6,3,2.52,2.4,2.9,2.4,2.6,3.2,2.37,2.6,3.1,2.4,2.5,3.1,2.5
D1,14/04/01,Hertha,Dortmund,1,0,H,0,0,D,54429,Hermann Albrecht ,15,9,4,2,1,0,5,5,22,10,1,3,3,2,1,0,55,20,2.43,3.05,2.65,2.3,2.9,2.5,2.37,3.2,2.6,2.25,3.2,2.75,2.2,3,3
D1,14/04/01,Kaiserslautern,Ein Frankfurt,4,2,H,1,2,A,41000,Helmut Krug ,11,12,7,7,0,0,9,9,13,15,5,3,4,1,0,0,40,10,1.5,3.6,5.8,1.55,3.3,4.5,1.5,3.4,6,1.53,3.4,5.5,1.57,3.5,5
D1,14/04/01,Leverkusen,Freiburg,1,3,A,0,1,A,22500,Helmut Fleischer ,15,7,7,4,1,0,8,4,20,9,0,3,2,1,0,0,20,10,1.45,3.65,6.55,1.45,3.5,5,1.5,3.4,6,1.44,3.75,6,1.5,3.4,6
D1,14/04/01,Wolfsburg,Munich 1860,0,1,A,0,1,A,13600,Lutz Michael Fr\F6hlich ,14,7,6,3,2,1,6,7,22,25,0,1,0,1,0,0,0,10,1.77,3.25,4.1,1.8,3,3.5,1.67,3.4,4.33,1.73,3.2,4.33,1.72,3.2,4.33
D1,15/04/01,Hamburg,FC Koln,1,1,D,0,1,A,45000,J\F6rg Kessler ,26,10,8,6,3,0,13,3,23,21,3,1,4,5,0,1,40,75,1.82,3.2,3.95,1.85,2.9,3.4,1.91,3.25,3.4,1.9,3.2,3.5,1.9,3.2,3.5
D1,15/04/01,Unterhaching,Hansa Rostock,1,1,D,0,0,D,10000,Edgar Steinborn ,14,4,6,4,0,0,9,5,23,25,4,2,2,0,0,0,20,0,2.05,3.05,3.35,1.9,2.9,3.2,2.1,3.2,3,2,3,3.4,2.1,3,3.2
D1,20/04/01,Dortmund,Bochum,5,0,H,2,0,H,65000,Helmut Fleischer ,24,10,9,0,1,1,3,2,20,20,3,1,1,2,0,0,10,20,1.32,4.4,7.65,1.4,3.6,5.5,1.33,4,8,1.35,4,8,1.3,4.2,8.5
D1,21/04/01,Cottbus,Unterhaching,1,0,H,0,0,D,17358,Markus Merk ,5,8,2,5,0,0,7,3,19,11,2,2,2,1,0,0,20,10,1.95,3.1,3.6,1.85,2.9,3.4,1.91,3.2,3.5,1.91,3.2,3.5,1.8,3.1,4
D1,21/04/01,Ein Frankfurt,Bayern Munich,0,2,A,0,1,A,57000,J\FCrgen Jansen ,8,17,4,7,0,0,3,2,17,9,5,0,1,1,0,0,10,10,3.8,3.25,1.8,3.1,3,1.9,3.75,3.25,1.8,4,3.3,1.75,3.6,3.4,1.8
D1,21/04/01,Hansa Rostock,FC Koln,2,1,H,1,0,H,15200,Wolfgang Stark ,16,16,6,7,0,0,15,9,20,16,2,2,4,2,0,0,40,20,2.2,3.05,3,2,2.9,3,2.2,3.2,2.8,2.2,3,3,2.1,3.2,3
D1,21/04/01,Leverkusen,Hamburg,1,1,D,0,0,D,22500,Lutz Wagner ,18,12,4,4,0,0,7,1,26,27,2,2,2,0,1,0,45,0,1.55,3.5,5.4,1.6,3.2,4.2,1.61,3.25,5,1.55,3.5,5.2,1.57,3.5,5
D1,21/04/01,Schalke 04,Hertha,3,1,H,0,1,A,60000,Herbert Fandel ,19,8,10,6,0,0,10,1,25,20,1,2,2,2,0,0,20,20,1.65,3.45,4.5,1.7,3.1,3.8,1.67,3.4,4.33,1.55,3.6,4.75,1.61,3.5,4.5
D1,21/04/01,Werder Bremen,Wolfsburg,2,3,A,1,2,A,34000,Helmut Krug ,14,13,8,9,0,2,15,4,19,15,3,6,3,3,0,0,30,30,1.65,3.4,4.55,1.65,3.2,3.9,1.67,3.4,4.33,1.57,3.5,5,1.61,3.3,5
D1,22/04/01,Munich 1860,Stuttgart,2,1,H,1,1,D,20000,Michael Weiner ,10,7,3,1,2,0,2,8,23,26,1,2,4,5,0,0,40,50,1.9,3.15,3.7,2,2.9,3,2.1,3.2,3,1.95,3.25,3.4,1.9,3.3,3.3
